,Unnamed: 0,Column,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,application_type,tot_cur_bal,open_act_il,mths_since_rcnt_il,total_bal_il,il_util,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mths_since_recent_bc,mths_since_recent_inq,mths_since_recent_revol_delinq,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_op_past_12m,pct_tl_nvr_dlq,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
49174,49174,49174,4200,4200,4200, 36 months,16.14,147.95,5,1.0,6,40000.0,Not Verified,Feb-19,Fully Paid,credit_card,WI,24.33,Jun-04,5.0,7,2768,92.0,8,w,0.0,0.0,4295.085895,4295.09,4200.0,95.09,Mar-19,4298.86,,Apr-19,Individual,135249,3,4.0,21523,62.0,0,1430,92.0,3000,1,19321.0,1000.0,92.0,156.0,176,29,4,29.0,4.0,5.0,3,3,2,3,4,3,3,3,7,1,88.0,157284,24291,3000,34986
49175,49175,49175,3000,3000,3000, 36 months,8.19,94.28,7,10.0,6,120000.0,Not Verified,Feb-19,Charged Off,other,UT,12.11,Oct-94,16.0,9,9020,36.5,21,f,2645.09,2645.09,412.2,412.2,354.91,57.29,May-19,75.0,Jun-19,May-19,Individual,329021,2,8.0,19856,82.0,2,2227,59.0,24700,5,36558.0,13763.0,25.2,250.0,292,6,6,6.0,8.0,16.0,3,5,3,3,8,6,8,5,9,2,85.7,355761,28876,18400,24183
49197,49197,49197,10000,10000,10000, 60 months,12.98,227.43,6,2.0,5,240000.0,Not Verified,Feb-19,Fully Paid,other,CA,3.8,Sep-05,47.0,15,17663,24.4,23,w,0.0,0.0,10241.130509999999,10241.13,10000.0,241.13,May-19,39.48,,May-19,Individual,33081,8,30.0,15418,58.0,2,6033,33.0,72400,2,2205.0,50737.0,25.8,161.0,73,8,8,8.0,0.0,,5,5,6,6,14,7,8,5,15,1,78.3,99025,33081,68400,26625
49220,49220,49220,15000,15000,15000, 36 months,7.02,463.3,7,10.0,6,192000.0,Source Verified,Feb-19,Charged Off,debt_consolidation,NJ,23.16,Dec-97,,31,37862,43.6,49,w,14246.7,14246.7,920.75,920.75,753.3,167.45,Apr-19,463.3,Jun-19,May-19,Individual,563590,11,5.0,216217,97.0,2,13300,82.0,86900,7,18180.0,32427.0,50.3,239.0,254,6,5,13.0,1.0,,5,9,10,16,16,18,31,9,31,3,100.0,668594,255178,65200,222071
49223,49223,49223,30000,30000,30000, 60 months,16.91,744.13,5,5.0,5,39000.0,Not Verified,Feb-19,Fully Paid,home_improvement,NY,2.28,Jan-14,20.0,8,384,1.9,11,w,0.0,0.0,30018.3225,30018.32,30000.0,18.32,Feb-19,30046.5,,Feb-19,Joint App,384,0,40.0,0,,0,288,2.0,19700,0,48.0,12183.0,2.5,40.0,61,26,26,26.0,11.0,20.0,3,4,5,6,1,8,10,4,8,0,72.7,19700,384,12500,0
49274,49274,49274,10000,10000,10000, 36 months,15.02,346.76,5,10.0,5,99200.0,Source Verified,Feb-19,Fully Paid,other,CO,26.2,Nov-89,,29,39906,56.3,41,w,0.0,0.0,10005.428329999999,10005.43,10000.0,5.43,Feb-19,10013.77,,Feb-19,Individual,46819,3,35.0,6913,18.0,2,6863,43.0,70900,2,1614.0,10274.0,75.5,110.0,351,2,2,24.0,,,11,20,12,16,4,26,37,20,29,1,100.0,110052,46819,42000,39152
49288,49288,49288,5000,5000,5000, 36 months,13.56,169.83,5,2.0,6,23000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,UT,15.45,Mar-06,,10,5447,28.4,12,w,0.0,0.0,5013.858,5013.86,5000.0,13.86,Feb-19,5017.63,,May-19,Individual,80482,2,15.0,677,23.0,3,2875,28.0,19200,4,8048.0,2641.0,67.0,78.0,155,9,9,9.0,15.0,,2,4,2,2,3,7,8,4,10,1,100.0,101003,6124,8000,3000
49328,49328,49328,15500,15500,15500, 60 months,18.94,401.57,4,10.0,5,70000.0,Source Verified,Feb-19,Fully Paid,debt_consolidation,OH,14.5,Mar-96,33.0,9,7410,31.0,51,w,0.0,0.0,16122.2741,16122.27,15500.0,622.27,Apr-19,15737.01,,May-19,Individual,31202,2,12.0,23792,79.0,5,2671,31.0,23900,7,3466.0,3933.0,31.0,138.0,275,7,7,7.0,4.0,33.0,6,7,9,14,21,7,28,5,9,3,67.0,54052,31202,23600,30152
49358,49358,49358,27000,27000,27000, 36 months,7.56,840.62,7,4.0,5,96800.0,Not Verified,Feb-19,Fully Paid,credit_card,MD,15.96,Oct-05,,14,16200,20.5,29,w,0.0,0.0,27023.3604,27023.36,27000.0,23.36,Feb-19,27034.7,,Feb-19,Individual,73846,3,21.0,57646,83.0,1,5601,45.0,79100,3,5680.0,61000.0,21.0,122.0,160,21,21,21.0,19.0,,4,4,10,15,11,11,18,5,14,0,100.0,192071,73846,77200,112971
49371,49371,49371,20000,20000,20000, 36 months,8.19,628.49,7,1.0,6,10000.0,Not Verified,Feb-19,Charged Off,moving,TN,3.0,Sep-02,,9,1165,2.6,39,w,0.0,0.0,20429.23201,20429.23,20000.0,429.23,May-19,19181.35,Jun-19,May-19,Joint App,63696,0,55.0,0,,3,1165,3.0,44300,3,7077.0,21135.0,5.2,106.0,197,3,3,3.0,3.0,,1,1,3,17,2,8,35,1,9,2,100.0,133881,1165,22300,0
49378,49378,49378,10000,10000,10000, 36 months,14.47,344.07,5,2.0,4,156000.0,Not Verified,Feb-19,Charged Off,other,MO,10.69,Feb-85,,7,44870,92.5,15,w,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,May-19,Individual,44870,0,109.0,0,,1,18900,93.0,48500,1,6410.0,733.0,98.3,109.0,408,10,10,38.0,,,3,5,3,3,1,7,12,5,7,1,100.0,48500,44870,42000,0
49380,49380,49380,28500,28500,28500, 36 months,23.4,1109.18,3,9.0,5,100000.0,Not Verified,Feb-19,Charged Off,small_business,VA,18.61,Nov-04,48.0,14,21569,37.0,23,w,28500.0,28500.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,242809,2,8.0,28918,64.0,7,14153,37.0,58750,9,17343.0,6860.0,48.0,171.0,87,2,2,2.0,0.0,48.0,5,11,6,7,9,11,13,8,14,6,96.0,298246,50487,34300,45411
49387,49387,49387,10000,10000,10000, 36 months,7.56,311.34,7,1.0,6,218970.0,Not Verified,Feb-19,Charged Off,debt_consolidation,CA,1.17,Oct-96,,13,10180,5.6,32,w,10000.0,10000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,457499,0,22.0,0,,4,9361,6.0,225600,5,35192.0,213620.0,5.6,117.0,268,5,5,5.0,9.0,,6,6,11,16,2,12,25,6,13,3,100.0,693600,10180,223800,0
49411,49411,49411,37875,37875,37875, 60 months,10.72,818.22,6,3.0,6,125000.0,Verified,Feb-19,Fully Paid,debt_consolidation,NV,21.52,Nov-03,,9,92039,39.4,24,w,0.0,0.0,38502.86805,38502.87,37875.0,627.87,Mar-19,38525.43,,Apr-19,Joint App,713145,2,6.0,27336,65.0,1,20740,48.0,148500,2,79238.0,53653.0,39.4,183.0,183,9,6,9.0,,,3,4,5,7,9,6,8,4,9,2,100.0,815934,119375,88500,42014
49435,49435,49435,20000,20000,20000, 60 months,16.91,496.09,5,1.0,6,77275.0,Source Verified,Feb-19,Fully Paid,major_purchase,MD,0.42,Aug-02,13.0,16,952,1.6,28,w,0.0,0.0,20541.85743,20541.86,20000.0,541.86,Apr-19,20064.56,,Apr-19,Individual,180034,0,13.0,0,,5,0,2.0,58100,8,11252.0,18600.0,0.0,142.0,198,8,8,19.0,0.0,13.0,0,1,3,3,4,15,18,1,16,2,96.4,247100,952,18600,0
49453,49453,49453,35000,35000,35000, 36 months,11.8,1159.17,6,7.0,6,138000.0,Source Verified,Feb-19,Fully Paid,debt_consolidation,NM,19.72,Mar-07,,19,47005,50.7,23,w,0.0,0.0,36017.42728,36017.43,35000.0,1017.43,May-19,33722.03,,May-19,Individual,260379,3,18.0,49756,32.0,9,8342,49.0,92700,12,13704.0,37466.0,54.5,100.0,143,14,14,14.0,17.0,,11,12,13,13,6,15,15,12,19,0,100.0,360325,96761,82300,70269
49483,49483,49483,4700,4700,4700, 36 months,23.4,182.92,3,,5,40000.0,Not Verified,Feb-19,Charged Off,debt_consolidation,NC,17.49,Oct-11,52.0,11,2770,25.0,16,w,4515.68,4515.68,347.51,347.51,184.32,163.19,Apr-19,182.92,Jun-19,May-19,Individual,11811,2,12.0,9041,67.0,8,883,48.0,11100,10,1074.0,4991.0,33.5,59.0,88,6,6,11.0,4.0,62.0,5,7,6,8,5,9,11,7,11,4,87.5,24636,11811,7500,13536
49503,49503,49503,15000,15000,15000, 36 months,10.72,489.1,6,3.0,6,71000.0,Source Verified,Feb-19,Charged Off,home_improvement,NY,15.3,Sep-04,21.0,6,40760,82.7,15,w,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,May-19,Individual,48777,1,19.0,8017,50.0,1,6290,75.0,49300,2,8130.0,210.0,96.8,152.0,102,20,19,29.0,,65.0,1,3,1,2,7,5,7,3,6,0,73.3,65235,48777,6500,15935
49515,49515,49515,15500,15500,15500, 36 months,7.56,482.58,7,,4,11500.0,Verified,Feb-19,Fully Paid,other,TX,15.03,Oct-92,,7,1835,5.6,15,w,0.0,0.0,15504.06875,15504.07,15500.0,4.07,Feb-19,15510.58,,Feb-19,Joint App,2057,1,105.0,222,2.0,0,1507,5.0,33000,0,294.0,24193.0,5.9,163.0,316,40,40,40.0,,,1,2,4,5,3,6,10,2,7,0,100.0,43548,2057,25700,10548
49565,49565,49565,10000,10000,10000, 36 months,13.56,339.65,5,3.0,5,65000.0,Verified,Feb-19,Charged Off,major_purchase,CA,0.65,Aug-04,,3,315,5.3,4,w,10000.0,10000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,315,0,,0,,2,315,5.0,6000,2,315.0,5685.0,5.3,,174,18,18,19.0,0.0,,1,1,3,4,0,3,4,1,3,0,100.0,6000,315,6000,0
49635,49635,49635,22000,22000,22000, 60 months,16.91,545.7,5,1.0,6,45000.0,Not Verified,Feb-19,Fully Paid,major_purchase,SC,18.37,Jun-04,44.0,7,2871,8.9,16,w,0.0,0.0,22013.43183,22013.43,22000.0,13.43,Feb-19,22034.1,,May-19,Individual,218340,2,11.0,22210,77.0,2,2056,41.0,32400,5,31191.0,29529.0,8.9,92.0,176,10,10,10.0,14.0,44.0,2,2,4,8,4,4,9,2,7,2,81.3,268792,25081,32400,29012
49667,49667,49667,10000,10000,10000, 36 months,7.56,311.34,7,10.0,6,216835.0,Not Verified,Feb-19,Charged Off,debt_consolidation,CA,11.31,Jan-84,,20,146934,31.6,29,w,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Mar-19,Individual,235530,0,,0,,2,11857,29.0,293023,2,11777.0,111834.0,32.2,,415,10,10,10.0,14.0,,12,13,16,22,0,18,26,13,20,1,100.0,411811,147490,165000,0
49696,49696,49696,4000,4000,4000, 36 months,25.34,159.76,3,10.0,6,60000.0,Not Verified,Feb-19,Charged Off,other,CA,24.09,Jun-02,37.0,13,18577,79.4,29,w,3924.7,3924.7,159.77,159.77,75.3,84.47,Mar-19,165.4,Jun-19,May-19,Individual,330738,1,15.0,6584,,8,5339,79.0,23400,10,25441.0,3087.0,81.2,128.0,200,4,4,4.0,0.0,37.0,4,9,6,10,5,11,21,9,13,7,75.9,377926,25161,16400,39101
49720,49720,49720,5500,5500,5500, 36 months,16.14,193.75,5,,6,30000.0,Not Verified,Feb-19,Fully Paid,other,TX,0.13,Jun-04,,1,0,,21,w,0.0,0.0,5503.20725,5503.21,5500.0,3.21,Feb-19,5508.14,,Feb-19,Individual,44832,0,61.0,0,,0,0,,0,0,44832.0,,,158.0,176,77,61,,0.0,,0,0,0,3,6,0,11,0,1,0,100.0,106400,0,0,0
49723,49723,49723,10000,10000,10000, 36 months,7.56,311.34,7,1.0,6,221971.0,Not Verified,Feb-19,Charged Off,debt_consolidation,CA,5.97,Mar-83,,6,10127,28.4,14,w,10000.0,10000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,260694,1,17.0,32097,,0,10127,43.0,35700,1,43449.0,12873.0,44.0,158.0,431,52,17,52.0,,,1,1,1,6,3,3,8,1,6,0,100.0,327140,52013,23000,41297
49749,49749,49749,10000,10000,10000, 36 months,18.94,366.26,4,1.0,4,18000.0,Verified,Feb-19,Charged Off,other,MO,45.8,Jan-12,,6,16582,92.6,11,w,9579.86,9579.86,722.0,722.0,420.14,301.86,Apr-19,366.26,Jun-19,May-19,Joint App,27276,2,3.0,10694,87.0,1,8443,90.0,17900,3,4546.0,1256.0,90.6,41.0,85,16,3,16.0,10.0,,3,4,3,6,4,4,7,4,6,2,100.0,30240,27276,13400,12340
49766,49766,49766,11000,11000,11000, 60 months,18.94,284.99,4,1.0,5,50000.0,Source Verified,Feb-19,Charged Off,debt_consolidation,MI,0.48,May-07,,2,1041,12.1,6,w,10888.63,10888.63,273.42,273.42,111.37,162.05,Mar-19,284.99,Jun-19,May-19,Joint App,1041,0,97.0,0,,1,1041,12.0,8600,1,521.0,3559.0,22.6,97.0,141,1,1,1.0,22.0,,1,1,1,4,1,2,5,1,2,1,100.0,8600,1041,4600,0
49777,49777,49777,35000,35000,35000, 60 months,20.89,944.71,4,10.0,6,170000.0,Verified,Feb-19,Charged Off,debt_consolidation,CA,14.87,Apr-87,61.0,7,22287,70.0,14,w,34664.58,34664.58,1147.81,1147.81,335.42,812.39,Apr-19,1188.43,Jun-19,May-19,Individual,792559,2,3.0,55512,94.0,3,12319,70.0,32000,6,113222.0,9333.0,67.0,80.0,382,4,3,4.0,3.0,,3,4,5,5,4,4,8,4,7,4,93.0,815839,77799,28000,59339
49803,49803,49803,25000,25000,25000, 60 months,13.56,576.02,5,10.0,6,130000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,MA,13.73,Oct-00,17.0,16,17802,34.5,36,w,0.0,0.0,25708.350609999998,25708.35,25000.0,708.35,Apr-19,25151.16,,May-19,Individual,305206,2,35.0,28688,50.0,4,6489,43.0,51600,6,21800.0,27404.0,31.8,155.0,220,2,2,2.0,2.0,17.0,4,6,7,11,9,13,24,6,16,4,86.1,375578,46490,40200,56905
49852,49852,49852,2325,2325,2325, 36 months,7.02,71.82,7,1.0,6,115000.0,Not Verified,Feb-19,Fully Paid,major_purchase,RI,16.0,Dec-01,,23,21214,11.3,53,w,0.0,0.0,2328.939827,2328.94,2325.0,3.94,Mar-19,252.85,,May-19,Individual,279240,3,22.0,58053,18.0,9,12725,12.0,187700,10,12141.0,138724.0,11.2,128.0,205,3,3,3.0,2.0,,6,10,12,23,18,19,34,10,23,6,100.0,501922,79267,156200,91067
49885,49885,49885,12000,12000,12000, 36 months,19.92,445.48,4,1.0,5,62000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,OR,13.94,Jun-04,79.0,9,11203,52.4,11,f,0.0,0.0,12237.9498,12237.95,12000.0,237.95,Mar-19,12251.23,,Mar-19,Individual,19559,2,27.0,8356,52.0,3,3377,52.0,21400,3,2173.0,5422.0,64.3,45.0,176,2,2,2.0,2.0,79.0,5,6,5,5,2,7,9,6,9,2,90.9,37587,19559,15200,16187
49912,49912,49912,16000,16000,16000, 60 months,11.8,354.3,6,7.0,5,77000.0,Not Verified,Feb-19,Fully Paid,credit_card,CA,12.7,Nov-07,,6,3298,15.9,11,w,0.0,0.0,16297.059940000001,16297.06,16000.0,297.06,Mar-19,16307.55,,Apr-19,Individual,17484,3,1.0,14186,48.0,1,1915,35.0,20800,2,2914.0,17502.0,15.9,124.0,135,5,1,5.0,5.0,,3,3,3,3,7,3,4,3,6,2,100.0,50668,17484,20800,29868
49959,49959,49959,25000,25000,25000, 36 months,16.14,880.66,5,10.0,5,110000.0,Not Verified,Feb-19,Fully Paid,major_purchase,CA,30.35,Jul-02,13.0,16,7861,33.0,29,w,0.0,0.0,25201.74667,25201.75,25000.0,201.75,Mar-19,25224.17,,May-19,Individual,71610,7,11.0,38558,72.0,3,6170,33.0,23750,6,4774.0,3583.0,64.0,148.0,199,3,3,3.0,1.0,76.0,3,7,8,9,14,7,14,5,15,1,86.0,102755,82395,10750,53814
49968,49968,49968,5200,5200,5200, 36 months,14.47,178.92,5,3.0,6,92500.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,SC,22.33,Apr-11,,11,1607,8.2,24,w,0.0,0.0,5246.39265,5246.39,5200.0,46.39,Mar-19,220.57,,May-19,Individual,214469,4,5.0,91265,90.0,2,1607,77.0,19700,8,19497.0,5693.0,22.0,81.0,91,3,3,23.0,7.0,,1,1,2,5,13,5,9,1,11,4,100.0,249346,92872,7300,101646
49985,49985,49985,14350,14350,14350, 36 months,20.89,539.83,4,2.0,6,48000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,SC,29.48,Jun-06,69.0,12,19734,70.7,28,w,0.0,0.0,14360.82905,14360.83,14350.0,10.83,Feb-19,14377.48,,May-19,Individual,191148,3,11.0,4721,20.0,3,2141,48.0,27900,7,17377.0,1011.0,78.9,144.0,152,2,2,3.0,6.0,69.0,2,5,3,4,13,8,11,5,12,5,92.9,218252,24455,4800,23228
49988,49988,49988,20000,20000,20000, 36 months,11.8,662.38,6,10.0,6,108000.0,Not Verified,Feb-19,Fully Paid,credit_card,IL,10.33,Oct-98,,15,11088,35.5,47,f,0.0,0.0,20078.66778,20078.67,20000.0,78.67,Mar-19,20091.78,,Mar-19,Individual,156484,4,10.0,145396,97.0,5,3107,63.0,31200,7,12037.0,10993.0,22.0,104.0,244,3,3,51.0,2.0,,1,7,3,13,5,11,38,7,14,5,100.0,187313,156484,14100,156113
50031,50031,50031,20225,20225,20225, 36 months,20.89,760.84,4,10.0,6,355000.0,Source Verified,Feb-19,Fully Paid,debt_consolidation,FL,15.86,Apr-91,,22,55249,34.9,49,w,0.0,0.0,20447.98848,20447.99,20225.0,222.99,Mar-19,58.68,,Mar-19,Individual,318744,4,3.0,58935,30.0,1,15924,32.0,188300,6,14488.0,57536.0,37.2,124.0,334,21,3,34.0,0.0,,5,9,9,15,22,16,25,9,22,2,100.0,591900,114210,96900,140995
50143,50143,50143,25000,25000,25000, 36 months,20.89,940.47,4,1.0,5,75000.0,Verified,Feb-19,Charged Off,debt_consolidation,VA,18.82,Sep-99,9.0,10,14886,77.5,57,w,23980.68,23980.68,1851.93,1851.93,1019.32,832.61,Apr-19,940.47,Jun-19,May-19,Individual,50287,1,18.0,35401,,3,5372,78.0,19200,4,6286.0,1446.0,85.7,233.0,209,17,17,23.0,17.0,9.0,2,4,4,10,32,9,25,4,10,0,94.7,64149,50287,10100,44949
50210,50210,50210,8000,8000,8000, 36 months,7.02,247.09,7,10.0,5,120000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,NY,3.97,Oct-00,66.0,4,2424,14.0,26,w,0.0,0.0,8063.838490999998,8063.84,8000.0,63.84,Apr-19,3705.23,,Apr-19,Individual,5287,2,10.0,2863,25.0,2,2424,18.0,17300,3,1762.0,14876.0,14.0,150.0,220,6,6,6.0,11.0,66.0,1,1,2,13,4,2,22,1,4,2,96.2,28660,5287,17300,11360
50213,50213,50213,7000,7000,7000, 36 months,8.81,221.98,7,,6,67000.0,Verified,Feb-19,Fully Paid,debt_consolidation,CA,7.68,Sep-07,72.0,6,15573,60.8,12,w,0.0,0.0,7052.898211,7052.9,7000.0,52.9,Mar-19,7059.75,,Apr-19,Individual,362355,0,,0,,5,10057,61.0,25600,6,60393.0,3329.0,79.6,,137,16,16,20.0,6.0,,2,3,2,2,0,4,8,3,6,0,91.7,390576,15573,16300,0
50256,50256,50256,5000,5000,5000, 36 months,14.47,172.04,5,2.0,4,70000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,NY,6.89,Dec-05,60.0,11,1222,10.5,15,w,0.0,0.0,5115.215835,5115.22,5000.0,115.22,Mar-19,5119.24,,Apr-19,Individual,13353,1,8.0,12131,93.0,3,827,54.0,11600,6,1484.0,7940.0,11.8,28.0,158,1,1,1.0,8.0,60.0,2,4,7,8,4,10,11,4,11,3,93.3,24700,13353,9000,13100
50257,50257,50257,18000,18000,18000, 36 months,11.31,591.95,6,10.0,6,120000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,WI,21.29,Jan-07,,19,28933,41.0,39,w,0.0,0.0,18007.3515,18007.35,18000.0,7.35,Feb-19,18018.66,,Feb-19,Individual,422080,3,22.0,51988,64.0,2,9853,41.0,69851,5,22214.0,6583.0,46.0,136.0,144,19,4,19.0,4.0,,9,14,12,12,14,14,20,10,19,2,100.0,493179,80921,59251,80872
50282,50282,50282,40000,40000,40000, 60 months,12.98,909.72,6,2.0,5,90000.0,Verified,Feb-19,Charged Off,debt_consolidation,WA,7.71,Sep-15,,6,9895,22.5,7,w,39522.95,39522.95,880.88,880.88,477.05,403.83,Mar-19,909.72,Jun-19,May-19,Individual,29265,2,7.0,19370,87.0,1,9539,43.0,44000,4,4878.0,34105.0,22.5,15.0,40,23,6,23.0,6.0,,3,3,3,4,2,3,4,3,6,2,100.0,68263,29265,44000,22203
50294,50294,50294,16000,16000,16000, 36 months,7.56,498.15,7,,6,50000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,GA,25.92,Jan-90,,18,13870,24.2,26,w,0.0,0.0,16277.189830000001,16277.19,16000.0,277.19,Apr-19,15785.76,,May-19,Individual,60979,1,39.0,11817,,6,4907,22.0,57400,6,3388.0,33783.0,28.9,92.0,104,3,3,3.0,3.0,,6,7,9,10,4,15,18,7,18,5,100.0,189239,25847,47500,45234
50311,50311,50311,6650,6650,6650, 36 months,11.31,218.7,6,5.0,6,58000.0,Not Verified,Feb-19,Fully Paid,car,GA,12.66,Jan-05,,12,376,1.1,24,w,0.0,0.0,6681.336542,6681.34,6650.0,31.34,Mar-19,6685.52,,Mar-19,Individual,18294,2,3.0,17918,60.0,2,285,29.0,34300,8,1525.0,25015.0,1.1,169.0,70,2,2,10.0,2.0,,1,2,3,3,13,10,11,2,12,5,100.0,64199,18294,25300,29899
50360,50360,50360,15000,15000,15000, 60 months,19.92,396.75,4,7.0,6,250000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,AZ,16.22,Sep-94,,30,54370,25.1,55,w,0.0,0.0,15099.6,15099.6,15000.0,99.6,Mar-19,116.2,,Mar-19,Individual,552589,8,5.0,190056,75.0,6,18353,40.0,216600,12,18420.0,151116.0,25.0,185.0,293,5,5,5.0,0.0,,9,12,17,22,20,21,31,12,30,6,100.0,811366,244426,201400,271360
50429,50429,50429,35000,35000,35000, 36 months,16.14,1232.92,5,10.0,6,84536.0,Not Verified,Feb-19,Fully Paid,home_improvement,NJ,13.96,Mar-04,,12,49174,0.0,31,w,0.0,0.0,36013.529539999996,36013.53,35000.0,1013.53,Apr-19,36044.91,,Apr-19,Individual,249512,0,34.0,0,,4,0,0.0,105900,4,22683.0,33900.0,0.0,179.0,165,8,8,18.0,0.0,,0,1,7,10,14,11,15,1,12,3,100.0,315900,49174,33900,0
50443,50443,50443,20000,20000,20000, 60 months,14.47,470.26,5,3.0,4,85000.0,Not Verified,Feb-19,Charged Off,other,CA,2.8,Mar-09,30.0,11,3555,6.2,16,w,19539.05,19539.05,924.44,924.44,460.95,463.49,Apr-19,470.26,Jun-19,May-19,Individual,7808,2,6.0,4253,91.0,0,3555,13.0,56900,2,710.0,30045.0,10.6,8.0,119,32,6,32.0,0.0,30.0,1,1,5,7,2,9,14,1,11,2,93.8,61600,7808,33600,4700
50637,50637,50637,4000,4000,4000, 36 months,19.92,148.5,4,5.0,6,50000.0,Not Verified,Feb-19,Fully Paid,major_purchase,LA,21.75,Dec-13,,7,2537,38.4,13,f,0.0,0.0,4024.343333,4024.34,4000.0,24.34,Mar-19,4028.77,,May-19,Individual,150352,2,3.0,46313,93.0,2,2024,64.0,6600,7,21479.0,3063.0,45.3,62.0,32,13,3,13.0,5.0,,2,2,3,3,7,4,4,2,7,4,100.0,156864,48850,5600,47739
50639,50639,50639,20000,20000,20000, 60 months,17.97,507.55,4,10.0,6,104736.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,WV,10.53,Nov-93,17.0,11,11151,53.6,22,w,0.0,0.0,20280.08315,20280.08,20000.0,280.08,Apr-19,30.5,,May-19,Individual,253222,1,27.0,5453,69.0,1,7460,58.0,20800,1,23020.0,716.0,91.6,224.0,303,3,3,158.0,3.0,104.0,2,8,2,3,8,9,13,8,11,1,81.8,294644,16604,8500,7878
50648,50648,50648,8000,8000,8000, 36 months,11.8,264.96,6,10.0,4,67000.0,Source Verified,Feb-19,Fully Paid,house,OR,6.93,May-91,,9,0,0.0,16,w,0.0,0.0,8195.393078000001,8195.39,8000.0,195.39,Apr-19,7235.67,,May-19,Individual,4862,2,2.0,4862,41.0,4,0,6.0,66100,11,540.0,7100.0,0.0,19.0,333,2,2,35.0,2.0,,0,0,2,2,7,7,8,0,9,7,100.0,78100,4862,7100,12000
50653,50653,50653,21000,21000,21000, 60 months,16.14,512.25,5,10.0,6,84000.0,Source Verified,Feb-19,Fully Paid,debt_consolidation,NJ,23.2,Mar-74,,13,59224,71.4,27,w,0.0,0.0,21012.2395,21012.24,21000.0,12.24,Feb-19,21031.07,,Feb-19,Individual,245383,1,28.0,1759,22.0,1,11235,67.0,82900,1,18876.0,18666.0,69.9,114.0,539,8,8,62.0,,,6,8,8,12,4,11,20,8,13,1,100.0,312819,60983,62100,7919
50688,50688,50688,16000,16000,16000, 36 months,8.19,502.79,7,7.0,6,75000.0,Source Verified,Feb-19,Fully Paid,credit_card,MI,21.62,Sep-06,76.0,17,28318,69.9,37,w,0.0,0.0,16063.59553,16063.6,16000.0,63.6,May-19,0.3,,Apr-19,Individual,128832,9,18.0,16246,45.0,0,12235,58.0,40500,1,7578.0,9803.0,73.6,129.0,125,28,18,36.0,18.0,76.0,5,6,5,10,19,6,15,6,17,0,94.4,190333,44564,37100,36137
50698,50698,50698,5000,5000,5000, 36 months,11.8,165.6,6,10.0,4,56000.0,Not Verified,Feb-19,Fully Paid,debt_consolidation,MN,6.67,Nov-99,57.0,7,7952,60.2,20,w,0.0,0.0,5092.307681,5092.31,5000.0,92.31,Mar-19,5095.59,,Apr-19,Individual,7952,0,19.0,0,,3,2274,60.0,13200,4,1136.0,3240.0,66.6,168.0,231,7,7,21.0,19.0,57.0,6,7,6,11,5,7,15,7,7,1,78.9,13200,7952,9700,0
50778,50778,50778,16000,16000,16000, 36 months,15.02,554.81,5,1.0,5,167000.0,Source Verified,Feb-19,Fully Paid,other,OH,10.92,Nov-07,24.0,29,5384,11.6,68,w,0.0,0.0,16080.107780000002,16080.11,16000.0,80.11,Mar-19,16093.46,,May-19,Individual,64671,5,4.0,59287,88.0,15,3060,39.0,46300,17,2230.0,27029.0,15.5,119.0,135,1,1,1.0,0.0,24.0,5,6,15,26,16,24,52,6,29,12,86.8,126224,64671,32000,79924
