loan_status,int_rate,purpose,addr_state,funded_amnt,installment,emp_length,annual_inc,last_pymnt_amnt,num_actv_rev_tl,num_sats,avg_cur_bal
Fully Paid,11.71%,debt_consolidation,NY,4000,132.31,2 years,62000.0,4054.28,1,4,92423.0
In Grace Period,20.00%,debt_consolidation,NJ,10000,371.64,3 years,40000.0,7371.64,4,10,1184.0
Fully Paid,11.71%,debt_consolidation,NY,4000,132.31,10+ years,99000.0,3962.21,6,12,7299.0
Fully Paid,12.40%,debt_consolidation,MI,13000,291.82,10+ years,87000.0,13218.38,5,14,8727.0
Fully Paid,11.02%,credit_card,TX,32000,1047.95,3 years,70000.0,32052.5,7,13,8545.0
In Grace Period,15.57%,major_purchase,NJ,8000,279.57,10+ years,65000.0,279.57,4,12,5806.0
Fully Paid,7.56%,home_improvement,MI,12000,373.61,< 1 year,89000.0,12102.63,1,4,12701.0
Fully Paid,14.74%,other,NJ,4000,138.16,10+ years,110000.0,38.41,6,12,1341.0
Fully Paid,15.57%,debt_consolidation,AZ,18000,433.63,10+ years,65000.0,18041.73,7,17,1278.0
Fully Paid,11.71%,debt_consolidation,CA,5600,185.23,3 years,175500.0,5621.86,4,8,4927.0
Fully Paid,16.40%,credit_card,IL,11000,388.91,3 years,110000.0,11036.58,3,5,26433.0
Fully Paid,13.08%,debt_consolidation,CT,35000,1180.64,< 1 year,560000.0,34768.47,7,24,28191.0
Fully Paid,10.33%,debt_consolidation,NE,2800,90.79,5 years,90000.0,2804.14,8,12,22627.0
Fully Paid,13.08%,other,NY,7000,236.13,10+ years,34000.0,7013.48,3,8,17257.0
Fully Paid,16.40%,debt_consolidation,NY,36000,883.12,10+ years,75000.0,36084.95,2,9,18127.0
Fully Paid,13.90%,credit_card,FL,10000,341.3,10+ years,52000.0,10020.0,2,8,8258.0
Late (16-30 days),20.00%,vacation,GA,10000,371.64,< 1 year,50000.0,371.64,6,8,3113.0
Late (31-120 days),8.19%,debt_consolidation,CA,30000,611.03,7 years,120000.0,0.0,8,15,1350.0
Late (16-30 days),28.80%,debt_consolidation,PA,20000,632.41,10+ years,62000.0,632.41,2,7,15221.0
Fully Paid,20.00%,debt_consolidation,TX,4400,163.52,10+ years,97000.0,63.56,7,12,24813.0
Late (16-30 days),22.50%,other,OR,3000,115.35,,46000.0,115.35,3,7,1976.0
Fully Paid,13.08%,credit_card,NC,1500,50.6,,9000.0,1526.47,2,7,19981.0
Fully Paid,22.50%,debt_consolidation,CA,21125,812.25,5 years,34000.0,21195.77,3,9,4418.0
Fully Paid,6.46%,debt_consolidation,CA,5000,153.16,3 years,210000.0,5030.41,7,20,2551.0
Fully Paid,11.71%,medical,NC,9100,301.0,,22800.0,9174.0,3,5,700.0
Fully Paid,7.56%,debt_consolidation,CO,18000,560.41,< 1 year,95000.0,17760.55,12,17,16791.0
Fully Paid,15.57%,credit_card,CA,15000,524.18,10+ years,58000.0,15136.24,9,13,818.0
Fully Paid,13.90%,debt_consolidation,NJ,20000,682.59,10+ years,78000.0,0.01,7,10,848.0
Fully Paid,28.95%,debt_consolidation,IL,20000,634.23,,39000.0,32.17,0,7,4558.0
Fully Paid,11.02%,debt_consolidation,FL,10000,327.49,10+ years,40000.0,10036.73,3,5,3468.0
Fully Paid,20.00%,credit_card,NY,5600,208.12,8 years,75000.0,5610.15,6,9,5572.0
Fully Paid,13.90%,house,CA,12000,409.55,5 years,89360.0,12024.0,4,18,17909.0
Fully Paid,13.08%,other,CA,7500,253.0,10+ years,91000.0,7573.58,13,28,24352.0
Late (16-30 days),14.74%,debt_consolidation,IL,20000,690.77,< 1 year,120000.0,690.77,8,9,3680.0
Fully Paid,17.97%,debt_consolidation,CA,10000,361.38,10+ years,45000.0,10025.86,7,13,689.0
Fully Paid,8.81%,medical,CT,1500,47.57,10+ years,85000.0,1519.31,8,23,9597.0
Fully Paid,22.50%,debt_consolidation,TX,25000,961.25,4 years,108000.0,25359.38,11,17,10537.0
Fully Paid,7.02%,credit_card,WI,24000,741.27,5 years,133818.0,24024.1,6,13,7426.0
Fully Paid,7.56%,credit_card,AL,5500,171.24,10+ years,60000.0,5565.06,3,11,5787.0
Fully Paid,12.40%,home_improvement,GA,40000,897.89,4 years,205000.0,40071.37,11,23,19580.0
Fully Paid,17.97%,home_improvement,OH,3000,108.42,2 years,92000.0,1985.88,3,13,12183.0
Fully Paid,8.19%,home_improvement,MA,40000,1256.97,10+ years,54000.0,40046.73,4,9,50680.0
Fully Paid,6.46%,debt_consolidation,WA,6000,183.79,2 years,102000.0,6049.34,7,19,16094.0
Late (16-30 days),15.57%,debt_consolidation,NY,12000,289.09,4 years,75000.0,289.09,4,8,3099.0
Fully Paid,13.08%,debt_consolidation,CA,18000,410.3,1 year,82500.0,18312.52,7,13,4187.0
Late (31-120 days),6.46%,debt_consolidation,NM,9000,275.68,10+ years,126000.0,0.0,4,12,20545.0
Fully Paid,20.00%,debt_consolidation,GA,13200,490.56,3 years,63000.0,13438.37,8,16,17453.0
Fully Paid,11.71%,debt_consolidation,KS,5600,185.23,10+ years,55000.0,68.32,3,6,9921.0
Fully Paid,13.08%,debt_consolidation,NC,20000,674.65,< 1 year,120000.0,20303.21,3,4,3343.0
Fully Paid,17.19%,major_purchase,CA,20000,714.95,3 years,63000.0,20305.19,3,10,3746.0
Fully Paid,7.02%,debt_consolidation,OH,3600,111.2,2 years,25000.0,3634.37,3,12,2217.0
Fully Paid,16.91%,debt_consolidation,ND,2800,99.71,10+ years,120000.0,2806.81,5,13,16514.0
Fully Paid,11.02%,debt_consolidation,NJ,36000,783.09,1 year,110000.0,36057.08,9,16,17568.0
Late (31-120 days),14.47%,debt_consolidation,FL,40000,1376.26,10+ years,182000.0,0.0,1,1,27960.0
Fully Paid,20.00%,home_improvement,CT,7500,278.73,9 years,194000.0,7698.46,8,22,21292.0
Fully Paid,6.46%,debt_consolidation,NC,12000,367.57,7 years,75000.0,40.91,4,7,3242.0
Fully Paid,11.02%,credit_card,IL,6400,209.59,1 year,64000.0,4573.14,3,13,12493.0
Fully Paid,8.19%,debt_consolidation,NY,35000,1099.85,2 years,300000.0,34540.33,3,8,154473.0
Fully Paid,6.46%,small_business,CA,30000,918.93,10+ years,80000.0,30027.08,4,10,40121.0
Late (16-30 days),13.90%,debt_consolidation,NY,20000,682.59,5 years,60000.0,682.59,6,18,4905.0
In Grace Period,17.19%,home_improvement,NV,7000,250.24,10+ years,34000.0,250.24,2,11,5462.0
Fully Paid,8.19%,debt_consolidation,CA,15000,471.37,< 1 year,80000.0,15138.99,6,21,5113.0
Fully Paid,7.02%,debt_consolidation,FL,10000,308.87,3 years,40000.0,10027.3,0,9,6528.0
Fully Paid,16.40%,debt_consolidation,FL,16000,565.68,3 years,20000.0,116.62,7,15,914.0
Fully Paid,20.00%,debt_consolidation,MD,28000,1040.59,5 years,52000.0,28082.44,11,24,1836.0
Fully Paid,11.02%,debt_consolidation,TX,20000,435.05,10+ years,60000.0,20031.71,5,9,14505.0
Fully Paid,22.50%,debt_consolidation,CA,15000,418.56,,25400.0,15318.42,5,9,1388.0
In Grace Period,7.56%,credit_card,TX,30000,934.02,10+ years,150000.0,129.14,7,12,24378.0
Fully Paid,16.40%,debt_consolidation,NY,3500,123.75,3 years,37000.0,3552.51,2,10,3446.0
Fully Paid,7.02%,home_improvement,TN,8500,262.54,10+ years,37000.0,8508.46,4,19,4857.0
Fully Paid,17.19%,debt_consolidation,NY,13850,495.11,4 years,74000.0,13885.05,13,29,11814.0
Fully Paid,28.80%,debt_consolidation,NC,2400,100.32,10+ years,55000.0,2461.44,4,12,32452.0
Fully Paid,16.40%,credit_card,FL,5000,176.78,3 years,45000.0,5007.52,3,5,7895.0
Late (16-30 days),16.40%,debt_consolidation,PA,35000,1237.42,,85000.0,1237.42,7,13,21986.0
Fully Paid,20.00%,home_improvement,RI,20000,743.28,1 year,90000.0,20058.89,12,23,8473.0
Fully Paid,8.19%,credit_card,CA,10000,314.25,< 1 year,96000.0,10007.39,8,14,9272.0
Late (16-30 days),18.94%,credit_card,IL,7325,268.29,2 years,32000.0,268.29,5,9,381.0
Fully Paid,13.08%,major_purchase,WA,8000,269.86,10+ years,50000.0,7930.28,2,6,2782.0
Late (16-30 days),14.74%,debt_consolidation,HI,15000,354.81,10+ years,103584.0,354.81,6,13,22426.0
Fully Paid,15.57%,other,MD,13200,318.0,10+ years,80982.0,13218.84,2,7,6312.0
Fully Paid,8.19%,debt_consolidation,GA,10000,314.25,7 years,89000.0,10094.88,4,7,38656.0
Fully Paid,10.33%,debt_consolidation,MN,10000,324.23,10+ years,92000.0,10048.78,18,40,8915.0
Fully Paid,8.81%,credit_card,OH,9000,285.41,10+ years,300000.0,9157.13,6,14,33806.0
Late (31-120 days),7.02%,home_improvement,CA,36000,1111.91,10+ years,60000.0,0.0,4,21,6597.0
Fully Paid,28.80%,debt_consolidation,SC,15225,481.42,10+ years,65000.0,15265.19,8,11,8313.0
Fully Paid,8.81%,other,TX,3000,95.14,5 years,120000.0,3004.41,7,16,22477.0
Fully Paid,7.02%,home_improvement,NY,36000,1111.91,5 years,180000.0,36422.77,3,9,59478.0
Fully Paid,17.97%,debt_consolidation,CA,4000,144.55,10+ years,50000.0,4065.76,8,13,3432.0
Fully Paid,17.97%,car,OH,23800,603.98,2 years,80000.0,23887.4,5,15,10896.0
Fully Paid,13.08%,debt_consolidation,SC,20000,455.89,,52000.0,20268.26,8,12,21611.0
Fully Paid,22.50%,debt_consolidation,GA,30000,1153.49,10+ years,78000.0,30061.88,8,11,3829.0
Fully Paid,11.71%,credit_card,CA,10000,220.99,< 1 year,38000.0,10146.91,5,9,3286.0
Fully Paid,13.90%,debt_consolidation,CA,14400,334.32,,24000.0,14516.76,2,6,2346.0
Fully Paid,6.46%,credit_card,TX,9000,275.68,< 1 year,110000.0,9056.32,6,16,20916.0
Fully Paid,16.40%,major_purchase,OK,15000,530.33,< 1 year,71000.0,15022.55,2,10,2255.0
Fully Paid,11.02%,debt_consolidation,PA,7000,229.24,1 year,45000.0,7099.85,4,14,2789.0
Fully Paid,20.00%,debt_consolidation,MI,25000,662.35,4 years,108202.0,25303.02,5,19,16851.0
Fully Paid,8.19%,debt_consolidation,AZ,3600,113.13,2 years,50000.0,3287.3,1,2,943.0
Late (31-120 days),7.56%,small_business,WI,40000,1245.36,3 years,150000.0,0.0,12,29,4046.0
Fully Paid,11.71%,debt_consolidation,TX,20500,678.06,5 years,75000.0,463.03,5,12,25451.0
Fully Paid,8.19%,debt_consolidation,NJ,40000,814.7,10+ years,40000.0,40488.44,4,8,63202.0
Fully Paid,20.00%,vacation,TX,7000,260.15,3 years,52000.0,7035.0,5,9,2691.0
Fully Paid,10.72%,home_improvement,IL,20400,440.71,3 years,30000.0,20419.74,1,4,8765.0
Fully Paid,11.02%,house,NM,40000,870.1,,50000.0,40090.12,2,6,46399.0
Fully Paid,13.90%,home_improvement,FL,13000,443.68,10+ years,100000.0,12858.88,6,11,28412.0
Fully Paid,28.80%,debt_consolidation,CA,10500,332.02,< 1 year,155000.0,10551.91,4,10,1836.0
Fully Paid,13.08%,house,WV,7000,236.13,,50000.0,7020.35,4,6,577.0
Late (16-30 days),28.80%,debt_consolidation,CA,35700,1128.85,6 years,58000.0,1133.0,4,10,36735.0
Fully Paid,13.90%,debt_consolidation,TX,22500,522.37,3 years,62000.0,22632.92,6,36,1508.0
Fully Paid,8.19%,debt_consolidation,NE,10000,314.25,2 years,40000.0,249.78,1,6,1970.0
Fully Paid,13.90%,car,MN,5000,170.65,10+ years,40000.0,5006.37,0,3,16423.0
Fully Paid,11.80%,credit_card,OH,5000,165.6,1 year,60000.0,5005.08,4,6,20555.0
Late (16-30 days),11.71%,debt_consolidation,TX,32000,1058.44,10+ years,119000.0,1162.53,9,25,6338.0
Fully Paid,20.00%,debt_consolidation,CA,7000,260.15,< 1 year,192000.0,7027.22,3,5,5860.0
Fully Paid,11.71%,debt_consolidation,OH,6000,198.46,10+ years,82300.0,6017.57,13,23,113.0
Fully Paid,22.50%,debt_consolidation,CA,20000,769.0,9 years,66000.0,20165.66,4,9,36290.0
Fully Paid,13.08%,debt_consolidation,IL,40000,911.77,10+ years,68900.0,40928.35,2,6,20073.0
Fully Paid,7.56%,major_purchase,TX,5000,155.67,3 years,76600.0,5035.6,3,11,15729.0
Fully Paid,8.81%,debt_consolidation,IL,13500,428.11,1 year,49500.0,99.11,3,23,11765.0
Fully Paid,10.33%,debt_consolidation,TX,2400,77.82,10+ years,51000.0,2366.29,2,24,675.0
Late (16-30 days),20.00%,other,CA,20000,743.28,4 years,80000.0,743.28,5,9,2888.0
Fully Paid,12.40%,home_improvement,TX,40000,1336.23,,20268.0,39638.56,14,15,4668.0
Fully Paid,7.56%,debt_consolidation,AZ,40000,1245.36,10+ years,330000.0,39380.09,3,12,130341.0
Fully Paid,13.08%,debt_consolidation,FL,25000,569.86,7 years,40000.0,25127.17,5,8,2133.0
Fully Paid,29.00%,debt_consolidation,AL,40000,1269.68,10+ years,50000.0,40814.97,5,15,30002.0
Late (31-120 days),11.71%,credit_card,NC,35000,1157.66,6 years,200000.0,1220.0,6,12,56466.0
Fully Paid,11.02%,home_improvement,TX,10000,327.49,10+ years,130000.0,10127.7,3,10,29988.0
Fully Paid,22.50%,debt_consolidation,TX,25000,697.6,10+ years,95000.0,22549.22,5,7,2791.0
Fully Paid,11.02%,credit_card,OR,3000,98.25,6 years,42000.0,2958.28,3,4,586.0
Fully Paid,7.02%,house,NJ,20000,617.73,3 years,250000.0,20136.01,1,6,26338.0
Fully Paid,8.19%,credit_card,NY,8000,251.4,1 year,140000.0,7890.39,8,18,1626.0
Fully Paid,6.46%,credit_card,PA,10000,306.31,,18000.0,10066.08,2,6,12008.0
Late (16-30 days),16.40%,debt_consolidation,MA,10000,353.55,3 years,60000.0,360.55,4,10,6554.0
Late (16-30 days),20.00%,other,NY,10000,371.64,3 years,66000.0,371.64,6,13,2375.0
Fully Paid,12.40%,other,AR,12000,269.37,10+ years,96000.0,148.8,1,9,13684.0
Fully Paid,7.02%,debt_consolidation,FL,5600,172.97,10+ years,42000.0,5604.64,5,8,20203.0
Fully Paid,7.02%,debt_consolidation,MO,15000,463.3,6 years,120000.0,15009.29,1,6,51041.0
Fully Paid,10.33%,debt_consolidation,MD,15500,502.55,10+ years,59000.0,15575.61,6,13,17201.0
Fully Paid,8.81%,debt_consolidation,FL,9600,304.43,10+ years,52000.0,9656.38,7,12,2477.0
Fully Paid,17.97%,vacation,NJ,10000,361.38,5 years,62000.0,10046.42,3,23,136.0
Fully Paid,15.57%,debt_consolidation,WV,27500,662.48,2 years,65000.0,26902.69,1,5,5893.0
Fully Paid,13.90%,home_improvement,NY,20000,464.33,8 years,140000.0,20025.48,4,9,2097.0
Fully Paid,17.19%,credit_card,NY,10000,357.48,8 years,41843.0,10029.51,9,12,1410.0
Fully Paid,17.97%,debt_consolidation,NJ,12000,304.53,1 year,38000.0,12321.65,1,5,4753.0
Late (31-120 days),22.50%,debt_consolidation,FL,30000,1153.49,4 years,120000.0,1153.49,5,16,7770.0
Fully Paid,25.00%,debt_consolidation,CA,10000,397.6,,35000.0,14.72,1,4,27635.0
Fully Paid,10.33%,credit_card,AR,5000,162.12,4 years,29000.0,105.93,3,3,574.0
Fully Paid,8.19%,debt_consolidation,CA,9000,282.82,4 years,62000.0,8848.25,1,5,9586.0
Late (31-120 days),22.50%,major_purchase,NV,5000,192.25,7 years,48000.0,0.0,3,5,3423.0
Fully Paid,8.81%,debt_consolidation,TX,11000,227.33,4 years,90000.0,11067.3,3,6,3068.0
Fully Paid,12.40%,major_purchase,OH,8400,280.61,10+ years,110000.0,1245.42,3,14,1900.0
Fully Paid,15.57%,home_improvement,KY,4800,167.74,,29564.0,53.16,3,8,1106.0
Fully Paid,17.97%,debt_consolidation,MA,13000,469.79,10+ years,42000.0,13265.23,11,15,1686.0
Fully Paid,8.81%,credit_card,MA,40000,826.66,1 year,187000.0,40604.3,3,7,69828.0
Fully Paid,6.46%,credit_card,CA,7500,229.74,10+ years,115000.0,7541.69,7,14,35014.0
Fully Paid,11.02%,credit_card,ME,6000,196.49,5 years,150000.0,6025.71,3,13,24390.0
Fully Paid,17.19%,debt_consolidation,OH,26000,929.44,10+ years,175000.0,26372.45,9,11,32453.0
Fully Paid,15.57%,debt_consolidation,NE,16000,559.13,10+ years,85000.0,15965.64,7,13,16420.0
Late (16-30 days),25.00%,debt_consolidation,NY,25000,994.0,< 1 year,60000.0,994.0,3,5,8961.0
Fully Paid,8.19%,debt_consolidation,CA,1200,37.71,3 years,50000.0,0.86,3,7,6079.0
Fully Paid,16.40%,debt_consolidation,AL,15000,367.97,10+ years,28000.0,15022.55,7,14,1680.0
In Grace Period,7.56%,debt_consolidation,MA,2000,62.27,5 years,30000.0,204.42,1,6,312.0
Fully Paid,13.08%,other,MA,7000,236.13,10+ years,70000.0,7008.39,5,12,15186.0
Fully Paid,12.40%,debt_consolidation,AZ,20000,448.95,6 years,63000.0,20124.0,8,16,2272.0
Fully Paid,11.71%,credit_card,FL,5000,165.38,10+ years,65000.0,5026.02,3,4,2605.0
Fully Paid,10.33%,home_improvement,NY,3200,103.76,10+ years,44000.0,3201.84,8,18,1349.0
Fully Paid,23.40%,credit_card,IL,10000,389.19,10+ years,80000.0,10285.45,10,16,22984.0
Fully Paid,28.95%,other,FL,1000,41.88,3 years,45000.0,1024.13,8,9,3714.0
Fully Paid,13.90%,medical,CA,5500,187.71,10+ years,44500.0,5448.41,1,7,129.0
Fully Paid,8.19%,credit_card,TX,10200,320.53,< 1 year,50000.0,10267.29,2,14,3924.0
Fully Paid,14.74%,credit_card,CA,16000,378.46,10+ years,140000.0,16339.02,4,8,23541.0
Fully Paid,8.19%,debt_consolidation,NY,30000,942.73,10+ years,200000.0,30371.18,8,18,3509.0
In Grace Period,17.19%,major_purchase,NY,25000,623.88,4 years,70000.0,623.88,7,8,1386.0
Fully Paid,11.71%,debt_consolidation,CA,6000,198.46,2 years,75000.0,6006.34,3,11,1853.0
Late (31-120 days),12.40%,debt_consolidation,CA,25000,835.15,2 years,125000.0,0.0,2,3,3690.0
Fully Paid,17.97%,house,NV,3000,108.42,< 1 year,75000.0,3062.51,12,21,14114.0
Late (16-30 days),11.80%,credit_card,TX,20000,662.38,7 years,130000.0,662.38,9,18,22648.0
Fully Paid,14.74%,other,CA,15000,518.08,10+ years,111835.0,15026.41,4,5,7777.0
Fully Paid,15.57%,small_business,TX,20000,698.91,< 1 year,45000.0,20028.55,3,7,8737.0
Fully Paid,17.97%,debt_consolidation,TX,40000,1015.09,3 years,62250.0,40254.87,9,17,14749.0
Fully Paid,13.08%,debt_consolidation,CT,1200,40.48,10+ years,85000.0,1225.38,8,21,2098.0
Fully Paid,11.02%,major_purchase,SD,4000,131.0,2 years,70000.0,3945.1,0,5,0.0
Fully Paid,28.97%,house,MI,20000,634.48,10+ years,50000.0,20053.11,6,10,708.0
Fully Paid,17.19%,debt_consolidation,MI,12000,299.46,10+ years,78000.0,12030.37,4,10,8232.0
Fully Paid,17.19%,debt_consolidation,AZ,14000,349.37,7 years,83000.0,14035.43,1,6,7063.0
Fully Paid,20.00%,car,VA,22500,596.12,3 years,105500.0,22787.5,3,7,2511.0
Fully Paid,14.47%,debt_consolidation,MD,36000,1238.63,< 1 year,120000.0,36047.75,4,12,44880.0
Fully Paid,28.80%,debt_consolidation,TN,36000,1138.33,,0.0,37150.2,5,6,10636.0
Fully Paid,20.00%,moving,NC,3600,133.79,2 years,100000.0,3673.71,1,5,14467.0
Fully Paid,8.19%,credit_card,FL,7500,235.69,3 years,40000.0,7604.91,1,8,2728.0
Fully Paid,8.81%,home_improvement,IN,5000,158.56,10+ years,63000.0,5029.37,6,23,4857.0
Fully Paid,7.56%,debt_consolidation,MO,6000,186.81,10+ years,70000.0,14.74,3,6,34309.0
Fully Paid,16.40%,debt_consolidation,NJ,25000,613.28,10+ years,85000.0,168.36,8,12,29486.0
Late (31-120 days),17.19%,car,MN,20000,714.95,9 years,65000.0,0.0,5,10,27766.0
Fully Paid,16.40%,debt_consolidation,NY,16000,565.68,4 years,100000.0,16418.33,2,8,12223.0
Fully Paid,11.71%,debt_consolidation,NY,12000,396.92,2 years,72000.0,134.66,7,35,3710.0
Fully Paid,13.90%,credit_card,TX,8000,273.04,10+ years,100000.0,8138.95,12,25,6513.0
Fully Paid,7.02%,credit_card,UT,11000,339.75,< 1 year,85000.0,10793.45,11,13,29487.0
Fully Paid,8.81%,credit_card,MD,20800,659.6,< 1 year,85000.0,1381.87,7,10,5396.0
Fully Paid,15.57%,debt_consolidation,MN,28000,978.47,7 years,122000.0,28647.55,3,14,35694.0
Late (16-30 days),17.19%,credit_card,MI,15400,550.51,7 years,112883.0,644.23,7,13,1183.0
Late (16-30 days),20.00%,major_purchase,MA,6025,223.92,2 years,140000.0,223.92,11,24,9139.0
Fully Paid,20.00%,credit_card,MI,3200,118.93,3 years,66000.0,36.51,11,16,2392.0
In Grace Period,14.74%,debt_consolidation,CA,40000,946.15,4 years,150000.0,946.15,2,10,5666.0
Fully Paid,8.19%,credit_card,CA,24000,488.82,6 years,65000.0,23873.74,6,22,7070.0
Fully Paid,19.92%,credit_card,CA,15000,396.75,,36000.0,15043.99,8,14,15903.0
In Grace Period,16.40%,debt_consolidation,WA,20000,490.63,4 years,0.0,490.63,4,6,4106.0
Fully Paid,6.46%,debt_consolidation,NY,12000,367.57,5 years,225000.0,43.07,4,9,4704.0
Fully Paid,25.00%,debt_consolidation,MI,18000,528.33,8 years,45000.0,18066.25,6,7,3197.0
Late (16-30 days),25.00%,debt_consolidation,NV,10000,293.52,10+ years,83000.0,293.52,14,20,2397.0
Fully Paid,15.02%,credit_card,CA,10000,346.76,10+ years,44000.0,10219.0,4,8,1702.0
Fully Paid,17.19%,debt_consolidation,MI,29000,723.7,1 year,55000.0,29116.43,4,7,45963.0
Late (31-120 days),25.00%,credit_card,PA,10000,397.6,10+ years,65000.0,0.0,9,14,17453.0
Fully Paid,13.90%,debt_consolidation,FL,25000,580.42,10+ years,83000.0,25375.45,9,14,16910.0
Fully Paid,8.19%,home_improvement,FL,4000,125.7,< 1 year,33000.0,4055.13,1,7,17611.0
Fully Paid,20.00%,debt_consolidation,OH,32000,847.81,10+ years,45000.0,32213.62,2,8,37476.0
Fully Paid,15.02%,debt_consolidation,MT,6800,235.8,,17000.0,6890.66,3,3,2238.0
Fully Paid,17.97%,debt_consolidation,NJ,9000,325.24,< 1 year,65000.0,9196.34,5,7,1436.0
Charged Off,7.02%,home_improvement,TN,4800,148.26,10+ years,69000.0,0.0,5,11,17817.0
Fully Paid,7.56%,debt_consolidation,AR,4500,140.11,10+ years,38400.0,4528.26,3,5,21050.0
Late (16-30 days),17.19%,debt_consolidation,CO,6000,214.49,,25000.0,214.49,3,4,5646.0
Fully Paid,15.57%,debt_consolidation,FL,4000,139.79,7 years,46000.0,3.53,3,3,754.0
Fully Paid,11.02%,debt_consolidation,ID,9500,311.11,1 year,60000.0,9511.63,15,20,10016.0
Charged Off,7.56%,debt_consolidation,IL,10000,311.34,8 years,228700.0,0.0,4,9,178018.0
Fully Paid,16.40%,debt_consolidation,TX,11000,388.91,3 years,93000.0,5.38,4,18,9815.0
Fully Paid,17.19%,debt_consolidation,FL,12000,299.46,5 years,60000.0,97.41,5,14,3892.0
Late (31-120 days),22.50%,home_improvement,CT,35000,976.64,10+ years,275000.0,0.0,1,8,32869.0
Late (31-120 days),8.81%,debt_consolidation,CA,36000,1141.61,5 years,130000.0,0.0,14,21,1513.0
Fully Paid,17.97%,debt_consolidation,NY,10000,253.78,6 years,135500.0,10058.82,1,4,73273.0
Fully Paid,20.00%,car,MO,8400,312.18,10+ years,136992.0,150.06,24,32,10481.0
Fully Paid,11.02%,debt_consolidation,CA,14400,313.24,9 years,65000.0,14606.23,6,11,16895.0
Fully Paid,25.00%,debt_consolidation,NY,6000,238.56,10+ years,85000.0,6050.0,3,10,8033.0
Fully Paid,13.90%,home_improvement,CA,5000,170.65,9 years,135000.0,5073.36,4,8,31124.0
Fully Paid,11.02%,debt_consolidation,CA,35000,1146.19,,85000.0,35415.57,14,22,2734.0
Fully Paid,6.46%,debt_consolidation,GA,5000,153.16,2 years,45000.0,4912.77,1,5,6963.0
Late (31-120 days),7.56%,debt_consolidation,UT,10500,326.91,3 years,136748.0,0.0,2,4,50794.0
Fully Paid,16.40%,debt_consolidation,CA,35000,858.59,8 years,150000.0,35082.59,17,19,3413.0
Late (31-120 days),30.75%,other,TX,1000,42.87,2 years,30000.0,57.87,2,6,7669.0
Fully Paid,8.19%,debt_consolidation,WV,14000,439.94,10+ years,73000.0,14076.44,4,10,9689.0
Fully Paid,11.02%,renewable_energy,FL,4275,140.0,5 years,116129.0,27.05,9,19,19748.0
Late (31-120 days),22.50%,debt_consolidation,NY,25000,697.6,< 1 year,100000.0,0.0,4,9,7079.0
Fully Paid,11.02%,debt_consolidation,TX,30000,652.58,10+ years,74000.0,30049.22,1,5,1952.0
Fully Paid,16.40%,debt_consolidation,NJ,5000,176.78,1 year,37000.0,5011.16,1,8,7808.0
Fully Paid,16.40%,credit_card,TX,10000,353.55,8 years,51000.0,10008.31,13,19,876.0
Fully Paid,6.46%,credit_card,PA,35000,1072.08,10+ years,160000.0,34569.36,1,17,28440.0
Fully Paid,16.40%,car,MD,5300,187.39,5 years,30700.0,5362.78,3,5,614.0
Fully Paid,12.40%,debt_consolidation,OK,40000,897.89,10+ years,41000.0,40418.18,2,17,11606.0
Charged Off,7.56%,debt_consolidation,IL,13000,404.74,5 years,288000.0,0.0,4,12,53830.0
Fully Paid,8.19%,home_improvement,MA,5000,157.13,5 years,120000.0,5017.06,2,13,25529.0
Late (31-120 days),13.90%,debt_consolidation,PA,11825,274.54,3 years,85000.0,274.54,5,8,1516.0
Charged Off,7.56%,debt_consolidation,IL,10000,311.34,7 years,223456.0,0.0,6,16,18019.0
Fully Paid,16.91%,credit_card,OK,30500,756.53,6 years,120000.0,30590.26,7,14,11681.0
Fully Paid,8.81%,small_business,CA,10000,317.12,< 1 year,65000.0,10027.36,4,9,1737.0
Late (31-120 days),12.40%,debt_consolidation,CA,27000,606.08,10+ years,150000.0,636.38,1,5,144958.0
Late (31-120 days),15.57%,debt_consolidation,FL,10000,349.46,4 years,157500.0,349.46,1,8,13759.0
Late (31-120 days),8.19%,debt_consolidation,UT,10000,314.25,10+ years,157349.0,0.0,2,7,45095.0
Fully Paid,11.80%,debt_consolidation,PA,14000,463.67,6 years,117000.0,14023.63,3,8,25087.0
Fully Paid,8.19%,credit_card,CT,4500,141.41,2 years,80000.0,4440.67,5,11,26589.0
Fully Paid,17.19%,debt_consolidation,NJ,15000,536.22,10+ years,58710.0,14618.57,5,7,6767.0
Fully Paid,6.46%,debt_consolidation,ND,9000,275.68,10+ years,150000.0,8858.33,1,10,26647.0
Late (31-120 days),15.57%,debt_consolidation,FL,10000,240.91,< 1 year,42000.0,240.91,2,4,6488.0
Charged Off,7.56%,debt_consolidation,IL,10000,311.34,< 1 year,223456.0,0.0,6,17,33506.0
Fully Paid,14.74%,debt_consolidation,NV,12000,414.46,5 years,34000.0,12068.79,2,6,6265.0
Charged Off,7.56%,debt_consolidation,IL,10000,311.34,6 years,219990.0,0.0,8,14,32924.0
Late (31-120 days),6.46%,debt_consolidation,TX,25000,765.77,3 years,95000.0,765.77,2,12,7283.0
Fully Paid,8.81%,home_improvement,VA,15000,475.68,10+ years,370000.0,10819.69,3,7,65355.0
Late (16-30 days),15.57%,debt_consolidation,CA,10500,366.93,10+ years,97000.0,366.93,7,10,41475.0
Fully Paid,20.00%,debt_consolidation,AL,10000,371.64,3 years,40000.0,10011.54,4,26,4340.0
